vendor_name,bitcoin_amt,USD,date,product_description,Count,can_be_vaped,is_edible,THC purity (%),Quantity/mass,Unit,Unit mass in grams,Total mass in grams
SweetKilobites,-1,37.5,2018-12-30 11:08:00,6 Piece - 37.5 USD - ~Potent Cannabutter Chocolate Chip Cookies~ 200mg THC each,6,,1,,,,0.2,
SweetKilobites,-1,27.5,2018-12-26 10:30:00,4 Piece - 27.5 USD - ~Potent Cannabutter Chocolate Chip Cookies~ 200mg THC each,4,,1,,,,0.2,
SweetKilobites,-1,57.54,2019-09-25 7:45:00,12 Piece - 57.54 USD - ~Potent Cannabutter Chocolate Chip Cookies~ 200mg THC each,12,,1,,,,0.2,
SweetKilobites,-1,107.58,2019-09-16 12:23:00,24 Piece - 107.58 USD - ~Potent Cannabutter Chocolate Chip Cookies~ 200mg THC each,24,,1,,,,0.2,
SweetKilobites,-1,47.5,2019-09-14 9:15:00,8 Piece - 47.5 USD - ~Potent Cannabutter Chocolate Chip Cookies~ 200mg THC each,8,,1,,,,0.2,
SweetKilobites,-1,57.5,2019-08-16 8:47:00,12 Piece - 57.5 USD - ~Potent Cannabutter Chocolate Chip Cookies~ 200mg THC each,12,,1,,,,0.2,
AmericanXtracts,-1,310,2018-12-27 8:21:00,20 Gram - 310 USD - THC Distillate (94% + Purity),,1,,94,,,20,
AmericanXtracts,-1,710,2018-12-22 9:24:00,50 Gram - 710 USD - THC Distillate (94% + Purity),,1,,94,,,50,
AmericanXtracts,-1,1310,2018-12-20 11:42:00,100 Gram - 1310 USD - THC Distillate (94% + Purity),,1,,94,,,100,
AmericanXtracts,-1,5520,2018-12-20 6:57:00,500 Gram - 5520 USD - THC Distillate (94% + Purity),,1,,94,,,500,
AmericanXtracts,-1,460,2019-11-28 2:52:00,30 Gram - 460 USD - THC Distillate (94% + Purity),,1,,94,,,30,
AmericanXtracts,-1,850,2019-11-17 4:20:00,60 Gram - 850 USD - THC Distillate (94% + Purity),,1,,94,,,60,
AmericanXtracts,-1,610,2019-11-10 3:10:00,40 Gram - 610 USD - THC Distillate (94% + Purity),,1,,94,,,40,
AmericanXtracts,-1,310,2018-12-25 11:13:00,30 Milliliter - 310 USD - THC VAPE JUICE (FOR E-PENS / VAPES) XXXTRA STRENGTH!,,1,,,30,ml,,
AmericanXtracts,-1,1090,2018-12-23 9:50:00,120 Milliliter - 1090 USD - THC VAPE JUICE (FOR E-PENS / VAPES) XXXTRA STRENGTH!,,1,,,120,ml,,
AmericanXtracts,-1,910,2018-12-22 9:20:00,100 Milliliter - 910 USD - THC VAPE JUICE (FOR E-PENS / VAPES) XXXTRA STRENGTH!,,1,,,100,ml,,
AmericanXtracts,-1,410,2018-12-13 9:20:00,40 Milliliter - 410 USD - THC VAPE JUICE (FOR E-PENS / VAPES) XXXTRA STRENGTH!,,1,,,40,ml,,
AmericanXtracts,-1,1630,2018-12-01 4:05:00,180 Milliliter - 1630 USD - THC VAPE JUICE (FOR E-PENS / VAPES) XXXTRA STRENGTH!,,1,,,180,ml,,
HeyliaJames,-1,-1,2018-12-31 1:13:00,10 Gram - 100 EUR - +10% only for First !! Premium Amnesia Haze NL QUALITY,,,,,,,10,
HeyliaJames,-1,-1,2018-12-29 12:26:00,15 Gram - 147.5 EUR - +10% only for First !! Premium Amnesia Haze NL QUALITY,,,,,,,15,
HeyliaJames,-1,-1,2018-12-28 9:40:00,25 Gram - 208 EUR - +10% only for First !! Premium Amnesia Haze NL QUALITY,,,,,,,25,
HeyliaJames,-1,-1,2018-12-27 9:49:00,5 Gram - 55.5 EUR - +10% only for First !! Premium Amnesia Haze NL QUALITY,,,,,,,5,
HeyliaJames,-1,-1,2018-12-26 5:49:00,35 Gram - 288 EUR - +10% only for First !! Premium Amnesia Haze NL QUALITY,,,,,,,35,
HeyliaJames,-1,-1,2018-12-26 8:03:00,5 Gram - 60.5 EUR - Premium Amnesia Haze NL QUALITY,,,,,,,5,
HeyliaJames,-1,-1,2018-12-24 10:17:00,10 Gram - 95.5 EUR - +10% only for First !! Premium Amnesia Haze NL QUALITY,,,,,,,10,
HeyliaJames,-1,-1,2018-12-21 11:38:00,15 Gram - 145 EUR - +10% only for First !! Premium Amnesia Haze NL QUALITY,,,,,,,15,
HeyliaJames,-1,-1,2018-12-19 5:38:00,15 Gram - 140.5 EUR - +10% only for First !! Premium Amnesia Haze NL QUALITY,,,,,,,15,
HeyliaJames,-1,-1,2018-12-10 1:55:00,50 Gram - 408 EUR - +10% only for First !! Premium Amnesia Haze NL QUALITY,,,,,,,50,
AmericanXtracts,-1,2870,2018-12-08 4:31:00,150 Piece - 2870 USD - THC Distillate Vape Cartridges (1ml),150,1,,,1,ml,,
AmericanXtracts,-1,410,2018-12-04 1:46:00,20 Piece - 410 USD - THC Distillate Vape Cartridges (1ml),20,1,,,1,ml,,
AmericanXtracts,-1,610,2019-09-23 11:35:00,30 Piece - 610 USD - THC Distillate Vape Cartridges (1ml),30,1,,,1,ml,,
AmericanXtracts,-1,210,2019-09-22 5:09:00,10 Piece - 210 USD - THC Distillate Vape Cartridges (1ml),10,1,,,1,ml,,
AmericanXtracts,-1,1220,2019-09-19 9:30:00,60 Piece - 1220 USD - THC Distillate Vape Cartridges (1ml),60,1,,,1,ml,,
AmericanXtracts,-1,1958,2019-06-11 2:37:00,102 Piece - 1958 USD - THC Distillate Vape Cartridges (1ml),102,1,,,1,ml,,
AmericanXtracts,-1,850,2019-05-09 1:59:00,42 Piece - 850 USD - THC Distillate Vape Cartridges (1ml),42,1,,,1,ml,,
WA2018,-1,116,2019-11-15 4:16:00,29 Gram - 116 USD - New in stock // on sale! [Gorilla Glue#4] indoor bud,,,,,,,29,
WA2018,-1,252,2019-10-26 3:10:00,56 Gram - 252 USD - SPECIAL AAA+WEED Gorilla Glue #4 (GG4)Indoor GRASS,,,,,,,56,
WA2018,-1,452,2019-10-14 5:38:00,113 Gram - 452 USD - SPECIAL AAA+WEED Gorilla Glue #4 (GG4)Indoor GRASS,,,,,,,113,
WA2018,-1,130.5,2019-10-14 8:28:00,29 Gram - 130.5 USD - SPECIAL AAA+WEED Gorilla Glue #4 (GG4)Indoor GRASS,,,,,,,29,
WA2018,-1,157.5,2019-10-06 2:11:00,35 Gram - 157.5 USD - SPECIAL AAA+WEED Gorilla Glue #4 (GG4)Indoor GRASS,,,,,,,35,
WA2018,-1,211.5,2019-10-02 12:04:00,47 Gram - 211.5 USD - SPECIAL AAA+WEED Gorilla Glue #4 (GG4)Indoor GRASS,,,,,,,47,
WA2018,-1,135,2019-09-20 9:28:00,30 Gram - 135 USD - SPECIAL AAA+WEED Gorilla Glue #4 (GG4)Indoor GRASS,,,,,,,30,
WA2018,-1,171,2019-09-10 10:16:00,38 Gram - 171 USD - SPECIAL AAA+WEED Gorilla Glue #4 (GG4)Indoor GRASS,,,,,,,38,
WA2018,-1,306,2019-09-07 10:25:00,68 Gram - 306 USD - SPECIAL AAA+WEED Gorilla Glue #4 (GG4)Indoor GRASS,,,,,,,68,
WA2018,-1,180,2019-08-30 8:44:00,40 Gram - 180 USD - SPECIAL AAA+WEED Gorilla Glue #4 (GG4)Indoor GRASS,,,,,,,40,
WA2018,-1,116,2019-06-28 4:35:00,29 Gram - 116 USD - ON SALE!AAA+ Fire OG weed INDOOR,,,,,,,29,
c4rl0s,-1,-1,2018-12-31 7:45:00,100 Gram - 630 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,100,
c4rl0s,-1,-1,2018-12-30 4:07:00,25 Gram - 185.25 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,25,
c4rl0s,-1,-1,2018-12-29 8:04:00,11 Gram - 89.25 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,11,
c4rl0s,-1,-1,2018-12-26 11:46:00,5 Gram - 46.5 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,5,
c4rl0s,-1,-1,2018-12-20 6:16:00,10 Gram - 81.5 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,10,
c4rl0s,-1,-1,2018-12-15 4:37:00,410 Gram - 2285 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,410,
c4rl0s,-1,-1,2018-12-15 12:49:00,50 Gram - 380 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,50,
c4rl0s,-1,-1,2018-12-12 9:54:00,15 Gram - 120.25 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,15,
c4rl0s,-1,-1,2018-12-11 12:34:00,7 Gram - 63.5 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,7,
c4rl0s,-1,-1,2018-12-06 12:02:00,10 Gram - 79 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,10,
c4rl0s,-1,-1,2018-12-05 12:14:00,65 Gram - 485 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,65,
c4rl0s,-1,-1,2018-12-04 1:34:00,8 Gram - 72 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,8,
c4rl0s,-1,-1,2018-12-01 10:48:00,5 Gram - 62.5 EUR - +++TOP QUALITY+++ CANNALOPE HAZE – Unreleased genetic +++ SALE,,,,,,,5,
Utopia13,-1,-1,2019-09-26 5:21:00,10 Gram - 75 EUR - ***** AFGHAN X HAZE *****  ***** SPAIN PREMIUM TOP QUALITY *****,,,,,,,10,
Rotterdamuss,-1,-1,2018-12-24 2:31:00,2 Gram - 30 EUR - #Honey Moroccan Blonde #AAA+,,,,,,,2,
Rotterdamuss,-1,-1,2018-12-19 6:50:00,2 Gram - 34.5 EUR - #Honey Moroccan Blonde #AAA+,,,,,,,2,
Rotterdamuss,-1,-1,2018-12-07 8:39:00,25 Gram - 250 EUR - #Honey Moroccan Blonde #Free Shipping #Kostenloser Versand,,,,,,,25,
Rotterdamuss,-1,-1,2018-12-06 2:20:00,2 Gram - 30 EUR - #Honey Moroccan Blonde #Free Shipping #Kostenloser Versand,,,,,,,2,
Rotterdamuss,-1,-1,2019-11-27 7:34:00,5 Gram - 62.5 EUR - #Honey Moroccan Blonde #Free Shipping #Kostenloser Versand,,,,,,,5,
Rotterdamuss,-1,-1,2019-11-16 11:35:00,50 Gram - 475 EUR - #Honey Moroccan Blonde #Free Shipping #Kostenloser Versand,,,,,,,50,
Rotterdamuss,-1,-1,2019-11-15 12:10:00,3 Gram - 45 EUR - #Honey Moroccan Blonde #Free Shipping #Kostenloser Versand,,,,,,,3,
Rotterdamuss,-1,-1,2019-11-08 4:01:00,10 Gram - 110 EUR - #Honey Moroccan Blonde #Free Shipping #Kostenloser Versand,,,,,,,10,
Rotterdamuss,-1,-1,2019-10-03 6:08:00,28 Gram - 280 EUR - #Honey Moroccan Blonde #Free Shipping #Kostenloser Versand,,,,,,,28,
-Lenas-BioLaden-,-1,-1,2018-12-30 6:59:00,5 Gram - 72.5 EUR - * Lena\'s * FORBIDDEN FRUIT * Bio Weed * ( Indica),,,,,,,5,
-Lenas-BioLaden-,-1,-1,2018-12-27 1:28:00,1 Gram - 18 EUR - * Lena\'s * FORBIDDEN FRUIT * Bio Weed * ( Indica),,,,,,,1,
-Lenas-BioLaden-,-1,-1,2018-12-26 7:34:00,2 Gram - 32 EUR - * Lena\'s * FORBIDDEN FRUIT * Bio Weed * ( Indica),,,,,,,2,
-Lenas-BioLaden-,-1,-1,2018-12-26 5:09:00,2 Gram - 36.75 EUR - * Lena\'s * FORBIDDEN FRUIT * Bio Weed * ( Indica),,,,,,,2,
-Lenas-BioLaden-,-1,-1,2018-12-24 9:17:00,10 Gram - 148.49 EUR - * Lena\'s * FORBIDDEN FRUIT * Bio Weed * ( Indica),,,,,,,10,
-Lenas-BioLaden-,-1,-1,2018-12-23 8:08:00,3 Gram - 48 EUR - * Lena\'s * FORBIDDEN FRUIT * Bio Weed * ( Indica),,,,,,,3,
-Lenas-BioLaden-,-1,-1,2018-12-21 6:04:00,10 Gram - 144.75 EUR - * Lena\'s * FORBIDDEN FRUIT * Bio Weed * ( Indica),,,,,,,10,
-Lenas-BioLaden-,-1,-1,2018-12-19 7:45:00,7 Gram - 116.39 EUR - * Lena\'s * FORBIDDEN FRUIT * Bio Weed * ( Indica),,,,,,,7,
-Lenas-BioLaden-,-1,-1,2018-12-19 1:38:00,1 Gram - 22.75 EUR - * Lena\'s * FORBIDDEN FRUIT * Bio Weed * ( Indica),,,,,,,1,
-Lenas-BioLaden-,-1,-1,2018-12-17 1:15:00,7 Gram - 101.5 EUR - * Lena\'s * FORBIDDEN FRUIT * Bio Weed * ( Indica),,,,,,,7,
-Lenas-BioLaden-,-1,-1,2019-11-18 6:29:00,10 Gram - 140 EUR - * Lena\'s * FRUITELLA * Bio Weed *,,,,,,,10,
-Lenas-BioLaden-,-1,-1,2019-11-06 1:30:00,3 Gram - 56.49 EUR - * Lena\'s * FRUITELLA * Bio Weed *,,,,,,,3,
-Lenas-BioLaden-,-1,-1,2019-10-29 5:47:00,10 Gram - 148.49 EUR - * Lena\'s * FRUITELLA * Bio Weed *,,,,,,,10,
-Lenas-BioLaden-,-1,-1,2019-10-28 3:22:00,10 Gram - 144.75 EUR - * Lena\'s * FRUITELLA * Bio Weed *,,,,,,,10,
-Lenas-BioLaden-,-1,-1,2019-10-19 2:03:00,3 Gram - 52.75 EUR - * Lena\'s * FRUITELLA * Bio Weed *,,,,,,,3,
-Lenas-BioLaden-,-1,-1,2019-09-26 4:35:00,2 Gram - 36.75 EUR - * Lena\'s * FRUITELLA * Bio Weed *,,,,,,,2,
-Lenas-BioLaden-,-1,-1,2019-09-23 10:53:00,2 Gram - 40.49 EUR - * Lena\'s * FRUITELLA * Bio Weed *,,,,,,,2,
-Lenas-BioLaden-,-1,-1,2019-09-15 10:22:00,1 Gram - 18 EUR - * Lena\'s * FRUITELLA * Bio Weed *,,,,,,,1,
KleinAberFein,-1,-1,2019-01-01 5:25:00,10 Gram - 103 EUR - Big Bud (Aktion 9€/g),,,,,,,10,
KleinAberFein,-1,-1,2018-12-29 1:05:00,20 Gram - 183 EUR - Big Bud (Aktion 9€/g),,,,,,,20,
KleinAberFein,-1,-1,2018-12-25 12:56:00,15 Gram - 153 EUR - Big Bud (Aktion 9€/g),,,,,,,15,
KleinAberFein,-1,-1,2018-12-22 6:54:00,14 Gram - 143 EUR - Big Bud (Aktion 9€/g),,,,,,,14,
KleinAberFein,-1,-1,2018-12-20 8:35:00,5 Gram - 58 EUR - Big Bud (Aktion 9€/g),,,,,,,5,
KleinAberFein,-1,-1,2018-12-03 3:03:00,7 Gram - 80 EUR - Big Bud (Aktion 9€/g),,,,,,,7,
WA2018,-1,110,2018-12-31 11:03:00,1 Ounce - 110 USD - *Most popular strain [Platinum Bubba Kush] indoor,,,,,1,oz,,
WA2018,-1,110,2018-12-25 12:53:00,1 Ounce - 110 USD - NEW HOT! fresh [Platinum Bubba Kush] indoor,,,,,1,oz,,
WA2018,-1,380,2018-12-24 6:45:00,4 Ounce - 380 USD - NEW HOT! fresh [Platinum Bubba Kush] indoor,,,,,4,oz,,
WA2018,-1,220,2018-12-20 5:00:00,2 Ounce - 220 USD - NEW HOT! fresh [Platinum Bubba Kush] indoor,,,,,2,oz,,
WA2018,-1,680,2018-12-20 6:43:00,8 Ounce - 680 USD - NEW HOT! fresh [Platinum Bubba Kush] indoor,,,,,8,oz,,
WA2018,-1,850,2018-12-13 11:21:00,10 Ounce - 850 USD - NEW HOT! fresh [Platinum Bubba Kush] indoor,,,,,10,oz,,
WA2018,-1,570,2019-11-09 4:40:00,6 Ounce - 570 USD - NEW HOT! fresh [Platinum Bubba Kush] indoor,,,,,6,oz,,
-Lenas-BioLaden-,-1,-1,2018-12-30 3:31:00,2.5 Gram - 44.75 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),,,,,,,2.5,
-Lenas-BioLaden-,-1,-1,2018-12-30 6:59:00,5 Gram - 89.89 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),,,,,,,5,
-Lenas-BioLaden-,-1,-1,2018-12-28 1:42:00,5 Gram - 79.75 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),,,,,,,5,
-Lenas-BioLaden-,-1,-1,2018-12-27 2:44:00,3 Gram - 52.75 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),,,,,,,3,
-Lenas-BioLaden-,-1,-1,2018-12-27 1:28:00,1 Gram - 21.75 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),,,,,,,1,
-Lenas-BioLaden-,-1,-1,2018-12-23 8:05:00,5 Gram - 83.49 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),,,,,,,5,
-Lenas-BioLaden-,-1,-1,2018-12-23 9:48:00,10 Gram - 159.89 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),,,,,,,10,
-Lenas-BioLaden-,-1,-1,2018-12-20 1:35:00,12 Gram - 178.75 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),,,,,,,12,
-Lenas-BioLaden-,-1,-1,2018-12-18 7:31:00,13 Gram - 193.25 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),,,,,,,13,
-Lenas-BioLaden-,-1,-1,2018-12-17 8:46:00,1 Gram - 17 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),,,,,,,1,
-Lenas-BioLaden-,-1,-1,2018-12-16 7:20:00,2 Gram - 32 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),,,,,,,2,
-Lenas-BioLaden-,-1,-1,2018-12-02 9:18:00,2 Gram - 32 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),,,,,,,2,
-Lenas-BioLaden-,-1,-1,2018-12-02 9:00:00,2 Gram - 40.49 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),,,,,,,2,
-Lenas-BioLaden-,-1,-1,2019-11-29 6:10:00,4 Gram - 64 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),,,,,,,5,
-Lenas-BioLaden-,-1,-1,2019-11-16 1:04:00,10 Gram - 149.75 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),,,,,,,10,
-Lenas-BioLaden-,-1,-1,2019-11-07 4:54:00,4 Gram - 68.75 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),,,,,,,4,
-Lenas-BioLaden-,-1,-1,2019-11-06 6:40:00,5 Gram - 79.75 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),,,,,,,5,
-Lenas-BioLaden-,-1,-1,2019-11-02 2:47:00,5 Gram - 75 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),,,,,,,5,
-Lenas-BioLaden-,-1,-1,2019-10-25 8:12:00,1 Gram - 17 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),,,,,,,1,
c4rl0s,-1,-1,2019-01-01 7:04:00,5 Gram - 47.75 EUR - Nebula Haze +++ TOP QUALITY +++,,,,,,,5,
c4rl0s,-1,-1,2018-12-29 8:04:00,10 Gram - 89 EUR - Nebula Haze +++ TOP QUALITY +++,,,,,,,10,
c4rl0s,-1,-1,2018-12-16 7:55:00,6 Gram - 56.5 EUR - Nebula Haze +++ TOP QUALITY +++,,,,,,,6,
c4rl0s,-1,-1,2018-12-05 10:51:00,25 Gram - 210.25 EUR - Nebula Haze +++ TOP QUALITY +++,,,,,,,25,
c4rl0s,-1,-1,2019-11-23 6:39:00,19 Gram - 165.5 EUR - Nebula Haze +++ TOP QUALITY +++,,,,,,,19,
clearcartman,-1,1055,2018-12-29 4:08:00,55 Piece - 1055 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $17/G,55,1,,80,,,1,
clearcartman,-1,865,2018-12-22 3:24:00,50 Piece - 865 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,50,1,,80,,,1,
clearcartman,-1,160,2018-12-21 5:38:00,5 Piece - 160 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,5,1,,80,,,1,
clearcartman,-1,1785,2018-12-18 9:59:00,100 Piece - 1785 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,100,1,,80,,,1,
clearcartman,-1,3160,2018-12-15 10:11:00,200 Piece - 3160 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,200,1,,80,,,1,
clearcartman,-1,275,2018-12-08 11:27:00,10 Piece - 275 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,10,1,,80,,,1,
clearcartman,-1,572.5,2018-12-05 5:07:00,25 Piece - 572.5 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,25,1,,80,,,1,
clearcartman,-1,480,2018-12-04 8:50:00,20 Piece - 480 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,20,1,,80,,,1,
clearcartman,-1,1310.5,2018-12-04 2:02:00,75 Piece - 1310.5 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,75,1,,80,,,1,
clearcartman,-1,1036,2018-12-03 5:07:00,60 Piece - 1036 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,60,1,,80,,,1,
clearcartman,-1,797.5,2019-11-22 6:13:00,35 Piece - 797.5 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,35,1,,80,,,1,
WackyWestWeed,-1,125.01,2018-12-30 11:34:00,7 Gram - 125.01 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,,,,,,,7,
WackyWestWeed,-1,1210.64,2018-12-26 4:09:00,112 Gram - 1210.64 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,,,,,,,112,
WackyWestWeed,-1,310.09,2018-12-24 9:30:00,21 Gram - 310.09 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,,,,,,,21,
WackyWestWeed,-1,230.08,2018-12-21 3:56:00,14 Gram - 230.08 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,,,,,,,14,
WackyWestWeed,-1,710,2018-12-04 1:42:00,56 Gram - 710 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,,,,,,,56,
WackyWestWeed,-1,360,2018-12-03 9:32:00,28 Gram - 360 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,,,,,,,28,
WackyWestWeed,-1,220.08,2019-11-20 3:32:00,14 Gram - 220.08 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,,,,,,,14,
WackyWestWeed,-1,535,2019-11-17 7:52:00,42 Gram - 535 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,,,,,,,42,
WackyWestWeed,-1,1362.96,2018-12-28 4:04:00,448 Gram - 1362.96 USD - SALE!-Skywalker OG-Grade A++ Weed,,,,,,,448,
WackyWestWeed,-1,1412.24,2018-12-15 4:18:00,448 Gram - 1412.24 USD - SALE!-Skywalker OG-Grade A++ Weed,,,,,,,448,
WackyWestWeed,-1,140.2,2018-12-15 7:44:00,28 Gram - 140.2 USD - SALE!-Skywalker OG-Grade A++ Weed,,,,,,,28,
WackyWestWeed,-1,410.96,2018-12-12 12:51:00,112 Gram - 410.96 USD - SALE!-Skywalker OG-Grade A++ Weed,,,,,,,112,
WackyWestWeed,-1,150,2018-12-10 12:36:00,28 Gram - 150 USD - SALE!-Skywalker OG-Grade A++ Weed,,,,,,,28,
WackyWestWeed,-1,205.16,2019-05-14 6:12:00,28 Gram - 205.16 USD - SALE!-Death Star - Grade A+++ Premium Indoor Weed,,,,,,,28,
WackyWestWeed,-1,205.16,2018-12-29 1:23:00,28 Gram - 205.16 USD - Pineapple - Grade A+++ Premium Indoor Weed,,,,,,,28,
WackyWestWeed,-1,120.04,2018-12-13 2:56:00,14 Gram - 120.04 USD - Pineapple - Grade A+++ Premium Indoor Weed,,,,,,,14,
WackyWestWeed,-1,253.95,2018-12-05 3:35:00,35 Gram - 253.95 USD - Pineapple - Grade A+++ Premium Indoor Weed,,,,,,,35,
RealHarryWilson,-1,47.5,2018-12-31 8:58:00,5 Gram - 47.5 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,5,
RealHarryWilson,-1,32.5,2018-12-31 5:17:00,3 Gram - 32.5 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,3,
RealHarryWilson,-1,115,2018-12-30 7:07:00,14 Gram - 115 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,14,
RealHarryWilson,-1,62.5,2018-12-28 4:43:00,7 Gram - 62.5 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,7,
RealHarryWilson,-1,70,2018-12-27 5:53:00,8 Gram - 70 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,8,
RealHarryWilson,-1,213,2018-12-25 4:03:00,28 Gram - 213 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,28,
RealHarryWilson,-1,85,2018-12-21 4:03:00,10 Gram - 85 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,10,
RealHarryWilson,-1,23.5,2018-12-17 8:33:00,3 Gram - 23.5 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,3,
RealHarryWilson,-1,40,2018-12-17 7:21:00,4 Gram - 40 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,4,
RealHarryWilson,-1,729,2018-12-13 6:39:00,112 Gram - 729 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,112,
RealHarryWilson,-1,416,2018-12-13 5:13:00,58 Gram - 416 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,58,
RealHarryWilson,-1,242,2018-12-12 2:36:00,32 Gram - 242 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,32,
RealHarryWilson,-1,92.5,2018-12-12 12:43:00,11 Gram - 92.5 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,11,
RealHarryWilson,-1,68.5,2018-12-08 6:11:00,9 Gram - 68.5 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,9,
RealHarryWilson,-1,25,2018-12-07 8:49:00,2 Gram - 25 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,2,
RealHarryWilson,-1,53.5,2018-12-07 5:29:00,7 Gram - 53.5 USD - Chiquita Banana - THC: 33% - 34%,,,,33,,,7,
-Lenas-BioLaden-,-1,-1,2018-12-26 8:16:00,10 Gram - 134.75 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),,,,,,,10,
-Lenas-BioLaden-,-1,-1,2018-12-23 4:09:00,2 Gram - 33.75 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),,,,,,,2,
-Lenas-BioLaden-,-1,-1,2018-12-21 9:37:00,8 Gram - 108 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),,,,,,,8,
-Lenas-BioLaden-,-1,-1,2018-12-21 1:44:00,3 Gram - 43.5 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),,,,,,,3,
-Lenas-BioLaden-,-1,-1,2018-12-19 5:27:00,3 Gram - 48.25 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),,,,,,,3,
-Lenas-BioLaden-,-1,-1,2018-12-19 12:45:00,6 Gram - 85.75 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),,,,,,,6,
