vendor_name,bitcoin_amt,USD,date,product_description,Count,can_be_vaped,is_edible,THC purity (%),Quantity/mass,Unit,Unit mass in grams,Total mass in grams
Cannabuds,-1,731,2018-12-20 0:00:00,1/2 POUND OG Kush! New Vendor Special!,,,,,0.5,lb,,
greatwhite,-1,25.8,2018-12-21 0:00:00,3 gram amnesia haze (indoor),,,,,,,3,
Cannabuds,-1,54,2018-12-12 0:00:00,7g Blue Dream! Special,,,,,,,7,
Vintage,-1,29.47,2018-07-13 0:00:00,OUTDOOR Mixed 5G @Fresh@ Limited- Free delivery,,,,,,,5,
Cannabuds,-1,40,2018-12-14 0:00:00,1 gram Vape cartridges! 80% Pure THC with Birthday Cake terps!,,1,,80,,,1,
Cannabuds,-1,40,2018-11-29 0:00:00,1 gram Brass Knuckle Vape cartridges! 90% Pure THC with natural terps!,,1,,90,,,,
Cannabuds,-1,374,2018-10-23 0:00:00,QUARTER POUND OG Kush! New Vendor Special!,,,,,0.25,lb,,
MarleysMainMan,-1,208,2018-12-10 0:00:00,28g Jack Flash (Hybrid),,,,,,,28,
greenday,-1,10.41,2018-10-17 0:00:00,1G Lush kush AAA+ OFFER,,,,,,,1,
greenday,-1,12.53,2018-08-15 0:00:00,1G Lush kush AAA+,,,,,,,1,
JuryNullification,-1,290,2018-12-05 0:00:00,28g OG Kush Organic Stable Shatter - FE,,,,,,,28,
Cannabuds,-1,50,2018-12-01 0:00:00,3g Wax Special! OG Kush (Nug run),,,,,,,3,
laWnmoWermAn,-1,46,2018-11-15 0:00:00,1/8 ounce of Platinum Kush - Ship to USA,,,,,0.125,oz,,
Humbleman,-1,45.44,2018-12-12 0:00:00,5g Amnesia Weed 18%THC (FREE SHIPPING),,,,18,,,5,
Humbleman,-1,45.86,2018-11-23 0:00:00,5g Amnesia Weed 18%THC (FAST FREE SHIPPING 4 Days Avg),,,,18,,,5,
Humbleman,-1,52.03,2018-09-06 0:00:00,5g Amnesia Weed 18%THC OFFER,,,,18,,,5,
SoulGrowers,-1,32.12,2018-11-15 0:00:00,CRITICAL KUSH - 2 Gram - Coffeeshop Quality,,,,,,,2,
SigmaOmicron,-1,52.67,2018-12-18 0:00:00,5g ? AMNESIA ?,,,,,,,5,
Cannabuds,-1,84,2019-01-06 0:00:00,1/2oz Blue Dream! Special,,,,,0.5,oz,,
UKfraudster,-1,13.84,2018-11-30 0:00:00,*Sample* 0.4g - Royal Haze - Next Day Delivery,,,,,,,0.4,
Cannabuds,-1,205,2018-10-20 0:00:00,Vape cartridges! 10 pack! 90% Pure THC with natural terps!,10,1,,90,,,,
laWnmoWermAn,-1,46,2019-01-08 0:00:00,1/8 ounce of Fire Alien Kush - Ship to USA,,,,,0.125,oz,,
greatwhite,-1,96.42,2018-11-16 0:00:00,promo 14 gram Lemon Haze                        no usa,,,,,,,14,
greatwhite,-1,113.54,2018-11-13 0:00:00,14 gram Lemon Haze                        no usa,,,,,,,14,
Cannabuds,-1,99,2018-08-04 0:00:00,7g Sugar Wax Special! OG Kush (Nug run) Free Shipping!,,,,,,,7,
majordan,-1,16.46,2019-01-02 0:00:00,Sky Walker OG hash  1g tester,,,,,,,1,
Humbleman,-1,91.02,2019-01-07 0:00:00,10g Amnesia Weed 18% THC,,,,18,,,10,
MarleysMainMan,-1,33,2018-11-14 0:00:00,2g Amnesia Haze (Sativa),,,,,,,2,
Cannabuds,-1,50,2018-12-25 0:00:00,7 grams Master Kush! New Vendor Special,,,,,,,7,
Cannabuds,-1,35,2018-09-22 0:00:00,5 grams Master Kush! New Vendor Special,,,,,,,5,
Vintage,-1,28.47,2018-10-01 0:00:00,3.5G Strawberry Banana @Fresh@ Limited- Free delivery,,,,,,,3.5,
greenday,-1,32.66,2018-09-19 0:00:00,3.5G Lush Kush AAA+ OFFER,,,,,,,3.5,
CanadaRx,-1,142.59,2018-11-22 0:00:00,Platinum Kush - AAA Indoor - 90% Indica - 22%+ THC - 28 grams (1oz),,,,22,,,28,
greatwhite,-1,18.5,2018-12-15 0:00:00,2 gram lemon  haze (indoor),,,,,,,2,
Cannabuds,-1,65,2018-07-24 0:00:00,3.5g Stable Shatter! BHO Special! OG Kush (Nug run),,,,,,,3.5,
laWnmoWermAn,-1,131,2018-10-02 0:00:00,1/2 ounce of Gorilla Glue #4 - Ship to USA,,,,,0.5,oz,,
laWnmoWermAn,-1,77,2018-11-29 0:00:00,1/4 ounce of Platinum Kush - Ship to USA,,,,,0.25,oz,,
SoulGrowers,-1,50.53,2019-01-05 0:00:00,"WARLOCK ? 3,5 Gram ? HIGH GRADE",,,,,,,3.5,
dutchdream,-1,44.11,2018-11-19 0:00:00,10 gram weed,,,,,,,10,
Cannabuds,-1,197,2018-12-22 0:00:00,1/2oz Shatter! Lemon Tree! New Vendor Special!,,,,,0.5,oz,,
Cannabuds,-1,68,2018-09-22 0:00:00,1/2 oz Gorilla Glue! Special,,,,,0.5,oz,,
majordan,-1,101.5,2018-11-10 0:00:00,Sky Walker OG hash quarter bar,,,,,0.25,bar,,
